== apple-macos-26.5-2x-light-standard / css  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w25/g3/dryrun/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
light-solid__capsule-button__rest            calibration  0.9666  0.9666 | +0.0292 +0.0292     -       -   | +0.0082 +0.0001     -       -   |  1.00  1.00   -     -  
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | +0.0036 -0.0000     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.6152  0.6942 | +0.1633 +0.1570     -       -   | +0.0648 +0.0001     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0033 | +0.0159 +0.0161     -       -   | +0.0023 -0.0000     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.5772  0.6219 | +0.1134 +0.1144     -       -   | +0.0559 -0.0301     -       -   |  0.00  0.00   -     -  
light-solid__rrect-md__rest                  calibration  0.9344  0.9332 | +0.0542 +0.0542 +0.0542 +0.0542 | +0.0080 +0.0000 +0.0080 +0.0000 |  1.00  1.00  1.00  1.00
dark-solid__rrect-md__rest                   calibration  0.4798  0.5023 | +0.2052 +0.2052 +0.2065 +0.2065 | +0.1497 +0.0012 +0.1497 +0.0012 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.6800  0.7068 | +0.1417 +0.1414 +0.2248 +0.0633 | +0.0677 -0.0016 +0.0671 -0.0003 |  0.00  0.00  0.00  0.00
impulse__rrect-md__rest                      validation   0.4311  0.4689 | +0.2178 +0.2228 +0.2160 +0.2160 | +0.1473 -0.0022 +0.1473 -0.0022 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.6619  0.6577 | +0.0678 +0.0910 +0.1301 +0.2017 | +0.0144 -0.0167 +0.0434 +0.2238 |  0.00  0.00  0.00  0.00
light-solid__rrect-ml__rest                  calibration  0.9325  0.9331 | +0.0553 +0.0553 +0.0553 +0.0553 | +0.0082 +0.0002 +0.0082 +0.0002 |  1.00  1.00  1.00  1.00
checkerboard__rrect-ml__rest                 calibration  0.6902  0.7057 | +0.1416 +0.1408 +0.1476 +0.1357 | +0.0677 -0.0037 +0.0109 +0.0322 |  0.00  0.00  0.00  0.00
photo__rrect-ml__rest                        calibration  0.6709  0.6583 | +0.0622 +0.1002 +0.1251 +0.2743 | +0.0008 -0.0555 +0.0633 +0.1557 |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 calibration  0.6163  0.6981 | +0.1606 +0.1523 +0.0417 +0.2791 | +0.0620 +0.0002 -0.3103 +0.2248 |  0.00  0.00  0.00  0.00
photo__rrect-sm__rest                        validation   0.5408  0.6033 | +0.1632 +0.1576 +0.1598 +0.2111 | +0.1021 -0.0119 +0.1386 +0.0685 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1179 +0.1179     -       -   | +0.0331 +0.0001     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest-tint-orange    calibration  0.4243  0.4275 | +0.1178 +0.1182     -       -   | +0.0331 +0.0001     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.3522  0.3665 | +0.1632 +0.1630     -       -   | +0.0421 -0.0002     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.3442  0.3555 | +0.1579 +0.1577     -       -   | +0.0464 -0.0000     -       -   |  0.00  0.00   -     -  
light-solid__capsule-button__rest-tint-orange calibration  0.4229  0.4276 | +0.1378 +0.1378     -       -   | +0.0128 -0.0001     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-blue        calibration  0.1909  0.1973 | +0.2131 +0.2131     -       -   | +0.1111 -0.0001     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange-half calibration  0.4306  0.4567 | +0.1504 +0.1513     -       -   | +0.0526 -0.0070     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-blue validation   0.1954  0.2041 | +0.2168 +0.2172     -       -   | +0.1021 -0.0003     -       -   |  0.00  0.00   -     -  
photo__rrect-md__rest-tint-orange            validation   0.3609  0.3618 | +0.1523 +0.1552 +0.1638 +0.1797 | +0.0419 -0.0000 +0.0419 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-sm__rest               unassigned   0.6081       - | +0.1658 +0.1658 +0.1660 +0.1660 |                                     |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         unassigned   0.6079       - | +0.1659 +0.1659     -       -   |                                     |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               unassigned   0.6776       - | +0.1436 +0.1436 +0.1448 +0.1448 |                                     |  0.00  0.00  0.00  0.00
