W26 G3 — the per-group OKLab dE mean, the 0.14.0 bed -> the landed bed
============================================================================================================
profile / renderer / set                                                  n    0.14.0    landed     delta
apple-macos-26.5-1x-dark-standard / css / calibration                     9   0.00633   0.00633  +0.00000
apple-macos-26.5-1x-dark-standard / css / holdout                         3   0.01735   0.01735  +0.00000
apple-macos-26.5-1x-dark-standard / css / validation                      1   0.00364   0.00364  +0.00000
apple-macos-26.5-1x-dark-standard / webgpu / calibration                  9   0.00393   0.00393  +0.00000
apple-macos-26.5-1x-dark-standard / webgpu / holdout                      3   0.01325   0.01325  +0.00000
apple-macos-26.5-1x-dark-standard / webgpu / validation                   1   0.00244   0.00244  +0.00000
apple-macos-26.5-1x-light-increased-contrast / css / calibration          6   0.01301   0.01301  +0.00000
apple-macos-26.5-1x-light-increased-contrast / css / holdout              1   0.04561   0.04561  +0.00000
apple-macos-26.5-1x-light-increased-contrast / css / validation           1   0.01539   0.01539  +0.00000
apple-macos-26.5-1x-light-increased-contrast / webgpu / calibration       6   0.00793   0.00794  +0.00000
apple-macos-26.5-1x-light-increased-contrast / webgpu / holdout           2   0.02042   0.02043  +0.00001
apple-macos-26.5-1x-light-increased-contrast / webgpu / validation        1   0.00862   0.00862  -0.00000
apple-macos-26.5-1x-light-reduced-transparency / css / calibration        5   0.00447   0.00447  +0.00000
apple-macos-26.5-1x-light-reduced-transparency / css / holdout            2   0.00751   0.00751  +0.00000
apple-macos-26.5-1x-light-reduced-transparency / css / validation         1   0.00454   0.00454  +0.00000
apple-macos-26.5-1x-light-reduced-transparency / webgpu / calibration     5   0.00171   0.00173  +0.00001
apple-macos-26.5-1x-light-reduced-transparency / webgpu / holdout         2   0.00343   0.00351  +0.00008
apple-macos-26.5-1x-light-reduced-transparency / webgpu / validation      1   0.00110   0.00110  +0.00000
apple-macos-26.5-1x-light-standard / css / calibration                   20   0.00709   0.00709  +0.00000
apple-macos-26.5-1x-light-standard / css / holdout                       10   0.01576   0.01576  +0.00000
apple-macos-26.5-1x-light-standard / css / validation                     6   0.00552   0.00552  +0.00000
apple-macos-26.5-1x-light-standard / webgpu / calibration                20   0.00321   0.00321  -0.00000
apple-macos-26.5-1x-light-standard / webgpu / holdout                    10   0.00898   0.00900  +0.00002
apple-macos-26.5-1x-light-standard / webgpu / validation                  6   0.00241   0.00240  -0.00001
apple-macos-26.5-2x-dark-standard / css / calibration                     9   0.00657   0.00657  +0.00000
apple-macos-26.5-2x-dark-standard / css / holdout                         3   0.01739   0.01739  +0.00000
apple-macos-26.5-2x-dark-standard / css / validation                      1   0.00403   0.00403  +0.00000
apple-macos-26.5-2x-dark-standard / webgpu / calibration                  9   0.00395   0.00395  +0.00000
apple-macos-26.5-2x-dark-standard / webgpu / holdout                      3   0.01311   0.01311  +0.00000
apple-macos-26.5-2x-dark-standard / webgpu / validation                   1   0.00297   0.00297  +0.00000
apple-macos-26.5-2x-light-standard / css / calibration                   20   0.00738   0.00738  +0.00000
apple-macos-26.5-2x-light-standard / css / holdout                       10   0.01616   0.01616  +0.00000
apple-macos-26.5-2x-light-standard / css / validation                     6   0.00569   0.00569  +0.00000
apple-macos-26.5-2x-light-standard / webgpu / calibration                20   0.00326   0.00326  +0.00000
apple-macos-26.5-2x-light-standard / webgpu / holdout                    10   0.00895   0.00930  +0.00035
apple-macos-26.5-2x-light-standard / webgpu / validation                  6   0.00248   0.00248  +0.00001

worst group rise: apple-macos-26.5-2x-light-standard / webgpu / holdout  +0.00035
